title,summary,also_called,group,primary_institute
Accidente cerebrovascular isquémico,"¿Qué es un accidente cerebrovascular isquémico? Un accidente cerebrovascular ocurre cuando se pierde el flujo sanguíneo a una parte del cerebro. Las células cerebrales no pueden obtener el oxígeno y los nutrientes que necesitan de la sangre y comienzan a morir en pocos minutos. Esto puede causar daño cerebral permanente, discapacidad a largo plazo o incluso la muerte. Hay dos tipos de accidentes cerebrovasculares: Isquémico y hemorrágico . El ataque cerebral isquémico es el tipo más común. Ocurre cuando un coágulo sanguíneo bloquea o tapa un vaso sanguíneo en el cerebro. Esto evita que la sangre fluya hacia este órgano. Un tratamiento rápido puede salvar una vida y mejorar las probabilidades de recuperación. ¿Qué causa un accidente cerebrovascular isquémico? Los accidentes cerebrovasculares isquémicos suelen estar causados por uno o más de los siguientes factores: Un coágulo sanguíneo: Un coágulo puede formarse en una arteria que lleva sangre el cerebro (trombosis) o puede desplazarse desde otra parte del cuerpo (embolia) Ateroesclerosis : Una enfermedad en la que la placa, una sustancia pegajosa compuesta de colesterol, grasa y otras sustancias, se acumula dentro de las arterias Ritmos cardíacos irregulares: Afecciones como la fibrilación auricular pueden provocar la formación de coágulos en el corazón, que pueden desplazarse al cerebro Otras afecciones cardíacas y sanguíneas: Como las enfermedades de las válvulas del corazón o la enfermedad de células falciformes Un ataque isquémico transitorio se produce cuando la sangre no llega al cerebro por unos instantes. Suele durar unos minutos. Tener un ataque isquémico transitorio puede significar que usted está en riesgo de sufrir un derrame cerebral más grave. ¿Cuáles son los síntomas de un accidente cerebrovascular isquémico? Los síntomas de un derrame cerebral suelen aparecer de repente. Entre ellos se incluyen: Entumecimiento o debilidad repentina de la cara, brazo o pierna (especialmente en un lado del cuerpo) Confusión repentina, dificultad para hablar o entender el lenguaje Dificultad repentina para ver con uno o ambos ojos Problemas para caminar repentino, mareos, pérdida de equilibrio o coordinación/li&gt; Dolor de cabeza severo repentino sin causa conocida La prueba F.A.S.T. puede ayudarle a recordar qué observar si sospechas que alguien está sufriendo un derrame cerebral. Piense ""rápido"" (""FAST"", por sus siglas en inglés) y observe: Cara (Face): Cara caída hacia un lado al sonreír Brazos (Arm): Debilidad en los brazos al levantarlos y uno de ellos se inclina hacia abajo Habla (Speech): Habla arrastrada o extraña Tiempo (Time): Es hora de llamar al 911 ¿Cómo se diagnostica un accidente cerebrovascular isquémico? Para hacer un diagnóstico, su proveedor de cuidados de la salud puede realizarle un examen físico, preguntarle acerca de sus síntomas e historia clínica y utilizar pruebas de diagnóstico por imágenes para comprobar si hay sangrado en su cerebro. También puede realizarle otras pruebas cardíacas para ayudar a encontrar la causa del accidente cerebrovascular. ¿Cómo se trata un accidente cerebrovascular isquémico? Es importante tratar los ataques cerebrales lo más rápido posible. Los tratamientos más comunes incluyen: Medicamentos: Los anticoagulantes o trombolíticos (que disuelven los coágulos existentes) pueden usarse para prevenir o tratar el accidente cerebrovascular isquémico Cirugía o la colocación de un stent: Pueden usarse para abrir las arterias estrechas o eliminar la acumulación de placa en las arterias carótidas, que lleva sangre al cerebro Después de un accidente cerebrovascular, la rehabilitación puede ayudar a las personas a recuperar las capacidades perdidas y recuperar la independencia. Su profesional de la salud también puede ordenar otros medicamentos para controlar su presión arterial , colesterol u otros problemas de salud, como diabetes , que pueden aumentar su riesgo de tener un accidente cerebrovascular. ¿Se puede prevenir un accidente cerebrovascular isquémico? La mejor manera de prevenir un accidente cerebrovascular es hacer cambios saludables en su estilo de vida para reducir el riesgo. Si esos cambios no son suficientes, su profesional de la salud podría recetarle medicamentos para ayudarle a controlar sus factores de riesgo. NIH: Instituto Nacional de Trastornos Neurológicos y Accidentes Cerebrovasculares","Accidente cerebral isquémico, Ataque isquémico, Ictus isquémico, Infarto cerebral isquémico","Sangre, corazón y circulación, Cerebro y nervios",Instituto Nacional de Trastornos Neurológicos y Accidentes Cerebrovasculares
Acidez estomacal,"La acidez es una sensación de ardor dolorosa en el pecho o la garganta. Ocurre cuando el ácido del estómago regresa hacia el esófago, el tubo que transporta la comida desde la boca hacia el estómago. Si tiene acidez más de dos veces por semana, es posible que tenga enfermedad por reflujo gastroesofágico (ERGE), aunque es posible que sufra de ERGE aún sin tener acidez estomacal. El embarazo, algunos alimentos, las bebidas alcohólicas y algunas medicinas pueden provocar acidez. El tratamiento de la acidez es importante porque con el transcurso del tiempo, el reflujo puede dañar el esófago. Las medicinas sin receta médica pueden ayudar. Si la acidez persiste, es posible que necesite medicinas con receta médica o una cirugía. Si usted, además, tiene otros síntomas, como un dolor opresivo en el pecho, podría tratarse de un infarto (ataque al corazón). Busque ayuda de inmediato.","Agruras, Pirosis","Sistema digestivo, Síntomas",Instituto Nacional de la Diabetes y las Enfermedades Digestivas y Renales
Acne,"Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face, neck, back, chest, and shoulders. Anyone can get acne, but it is common in teenagers and young adults. It is not serious, but it can cause scars . No one knows exactly what causes acne. Hormone changes, such as those during the teenage years and pregnancy, probably play a role. There are many myths about what causes acne. Chocolate and greasy foods are often blamed, but there is little evidence that foods have much effect on acne in most people. Another common myth is that dirty skin causes acne; however, blackheads and pimples are not caused by dirt. Stress doesn't cause acne, but stress can make it worse. If you have acne: Clean your skin gently Try not to touch your skin Avoid the sun Treatments for acne include medicines and creams. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases","Pimples, Zits","Skin, Hair and Nails",National Institute of Arthritis and Musculoskeletal and Skin Diseases
Acné,"El acné es una enfermedad común de la piel que provoca espinillas (granos). Las espinillas se forman cuando los folículos pilosos que se encuentran debajo de la piel se tapan. La mayoría de las espinillas aparecen en el rostro, el cuello, la espalda, el pecho y los hombros. Cualquier persona puede tener acné, pero es común en los adolescentes y los adultos jóvenes. No es grave, pero puede dejar cicatrices . Nadie sabe exactamente cuál es la causa del acné. Es probable que los cambios hormonales, tales como los que ocurren en la adolescencia o el embarazo, tengan alguna relación con su aparición. Existen muchos mitos acerca de las causas del acné. Con frecuencia se culpa al chocolate y las comidas grasosas, pero en la mayoría de los casos hay pocas evidencias de que la comida tenga algún efecto sobre el acné. Otra creencia común es que la piel sucia puede favorecer el acné; sin embargo, los puntos negros y las espinillas no son producto de la suciedad. El estrés no produce acné, pero puede empeorarlo. Si tiene acné: Limpie su piel con suavidad Intente no tocarse la piel Evite el sol Los tratamientos para el acné incluyen medicamentos y cremas. NIH: Instituto Nacional de Artritis y Enfermedades Musculoesqueléticas y de la Piel","Barros, Espinillas, Granitos","Piel, cabello y uñas",Instituto Nacional de Artritis y Enfermedades Musculoesqueléticas y de la Piel
Acoustic Neuroma,"An acoustic neuroma is a benign tumor that develops on the nerve that connects the ear to the brain. The tumor usually grows slowly. As it grows, it presses against the hearing and balance nerves. At first, you may have no symptoms or mild symptoms. They can include: Loss of hearing on one side Ringing in ears Dizziness and balance problems The tumor can also eventually cause numbness or paralysis of the face. If it grows large enough, it can press against the brain, becoming life-threatening. Acoustic neuroma can be difficult to diagnose, because the symptoms are similar to those of middle ear problems. Ear exams, hearing tests, and scans can show if you have it. If the tumor stays small, you may only need to have it checked regularly. If you do need treatment, surgery and radiation are options. If the tumors affect both hearing nerves, it is often because of a genetic disorder called neurofibromatosis . NIH: National Institute on Deafness and Communication Disorders","Acoustic neurilemmoma, Acoustic neurinoma, Auditory tumor, Vestibular schwannoma","Brain and Nerves, Ear, Nose and Throat",National Institute on Deafness and Other Communication Disorders
Acupuncture,"Acupuncture has been practiced in China and other Asian countries for thousands of years. Acupuncture involves stimulating specific points on the body. This is most often done by inserting thin needles through the skin, to cause a change in the physical functions of the body. Research has shown that acupuncture reduces nausea and vomiting after surgery and chemotherapy. It can also relieve pain. Researchers don't fully understand how acupuncture works. It might aid the activity of your body's pain-killing chemicals. It also might affect how you release chemicals that regulate blood pressure and flow. NIH: National Center for Complementary and Integrative Health",,Complementary and Alternative Therapies,National Center for Complementary and Integrative Health
Acupuntura,"La acupuntura se ha practicado en China y en otros países asiáticos por miles de años. Es una práctica que implica estimular partes específicas del cuerpo, generalmente, mediante la inserción de agujas muy finas. Esto crea un cambio en las funciones físicas del cuerpo. Las investigaciones han demostrado que la acupuntura reduce las náuseas y los vómitos después de una cirugía y quimioterapia. También puede aliviar el dolor. Los investigadores no comprenden en su totalidad el efecto de la acupuntura pero se cree que podría ayudar a la actividad de los químicos que alivian el dolor del cuerpo. También podría afectar la manera en la que se liberan las sustancias químicas que regulan la presión arterial y el flujo de la sangre. NIH: Centro Nacional de Salud Complementaria e Integral",,Terapias complementarias y alternativas,Centro Nacional de Salud Complementaria e Integral
Acute Bronchitis,"Bronchitis is an inflammation of the bronchial tubes, the airways that carry air to your lungs. It causes a cough that often brings up mucus. It can also cause shortness of breath, wheezing, a low fever, and chest tightness. There are two main types of bronchitis: acute and chronic . Most cases of acute bronchitis get better within several days. But your cough can last for several weeks after the infection is gone. The same viruses that cause colds and the flu often cause acute bronchitis. These viruses spread through the air when people cough, or through physical contact (for example, on unwashed hands). Being exposed to tobacco smoke, air pollution, dust, vapors, and fumes can also cause acute bronchitis. Less often, bacteria can also cause acute bronchitis. To diagnose acute bronchitis, your health care provider will ask about your symptoms and listen to your breathing. You may also have other tests. Treatments include rest, fluids, and aspirin (for adults) or acetaminophen to treat fever. A humidifier or steam can also help. You may need inhaled medicine to open your airways if you are wheezing. Antibiotics won't help if the cause is viral. You may get antibiotics if the cause is bacterial. NIH: National Heart, Lung, and Blood Institute",Chest cold,"Infections, Lungs and Breathing","National Heart, Lung, and Blood Institute"
Acute Flaccid Myelitis,"What is acute flaccid myelitis (AFM)? Acute flaccid myelitis (AFM) is a neurologic disease . It is rare, but serious. It affects an area of the spinal cord called gray matter. This can cause the muscles and reflexes in the body to become weak. Because of these symptoms, some people call AFM a ""polio-like"" illness. But it is different from polio . AFM is not caused by polioviruses. What causes acute flaccid myelitis (AFM)? AFM can be caused by several different viruses. Researchers think that enteroviruses have been causing the recent increases in the number of children with AFM. AFM can also be caused by other viruses, including flaviviruses, herpesviruses, and adenoviruses. Most people with AFM had a mild respiratory illness or fever (like you would get from a viral infection ) before they got AFM. Who is more likely to develop acute flaccid myelitis (AFM)? Anyone can get AFM, but most cases (more than 90%) have been in young children. What are the symptoms of acute flaccid myelitis (AFM)? Most people with AFM will suddenly have: Arm or leg weakness A loss of muscle tone and reflexes Some people also have other symptoms, including: Facial drooping/weakness Trouble moving the eyes Drooping eyelids Trouble swallowing Slurred speech Pain in the arms, legs, back, or neck Sometimes AFM can weaken the muscles that you need for breathing. This can lead to respiratory failure , which is very serious. If you get respiratory failure, you may need to use a ventilator (breathing machine) to help you breathe. If you or your child develops any of these symptoms, get medical care right away. How is acute flaccid myelitis (AFM) diagnosed? AFM causes many of the same symptoms as other neurologic diseases, such as transverse myelitis and Guillain-Barre syndrome . This can make it difficult to diagnose. To find out if you have AFM, your doctor may use: A neurologic exam , including looking at where there is weakness, poor muscle tone, and decreased reflexes An MRI to look at the spinal cord and brain Lab tests on the cerebrospinal fluid (the fluid around the brain and spinal cord) Nerve conduction and electromyography (EMG) studies . These tests check nerve speed and the response of muscles to the messages from the nerves. It is important that the tests are done as soon as possible after the symptoms start. What are the treatments for acute flaccid myelitis (AFM)? There is no specific treatment for AFM. A doctor who specializes in treating brain and spinal cord illnesses (neurologist) may recommend treatments for specific symptoms. For example, physical and/or occupational therapy may help with arm or leg weakness. Researchers do not know the long-term outcomes of people who get AFM. Can acute flaccid myelitis (AFM) be prevented? There is no specific way to prevent AFM. But you can take steps to prevent getting sick from a virus by: Washing your hands often with soap and water Avoiding touching your face with unwashed hands Avoiding close contact with people who are sick Cleaning and disinfecting surfaces that you frequently touch, including toys Covering coughs and sneezes with a tissue or upper shirt sleeve, not hands Staying home when sick Centers for Disease Control and Prevention",AFM,"Children and Teenagers, Infections, Brain and Nerves",National Institute of Neurological Disorders and Stroke
Acute Lymphocytic Leukemia,"What is leukemia? Leukemia is a term for cancers of the blood cells. Leukemia starts in blood-forming tissues such as the bone marrow. Your bone marrow makes the cells which will develop into white blood cells, red blood cells, and platelets. Each type of cell has a different job: White blood cells help your body fight infection Red blood cells deliver oxygen from your lungs to your tissues and organs Platelets help form clots to stop bleeding When you have leukemia, your bone marrow makes large numbers of abnormal cells. This problem most often happens with white blood cells. These abnormal cells build up in your bone marrow and blood. They crowd out the healthy blood cells and make it hard for your cells and blood to do their work. What is acute lymphocytic leukemia (ALL)? Acute lymphocytic leukemia is a type of acute leukemia. It's also called ALL and acute lymphoblastic leukemia. ""Acute"" means that it usually gets worse quickly if it's not treated. ALL is the most common type of cancer in children . It can also affect adults. In ALL, the bone marrow makes too many lymphocytes, a type of white blood cell. These cells normally help your body fight infection. But in ALL, they are abnormal and cannot fight infection very well. They also crowd out the healthy cells, which can lead to infection, anemia , and easy bleeding. These abnormal cells can also spread to other parts of the body, including the brain and spinal cord. What causes acute lymphocytic leukemia (ALL)? ALL happens when there are changes in the genetic material (DNA) in bone marrow cells. The cause of these genetic changes is unknown. However, there are certain factors that raise your risk of ALL. Who is at risk for acute lymphocytic leukemia (ALL)? The factors that raise your risk of ALL include: Being male Being white Being over age 70 Having had chemotherapy or radiation therapy Having been exposed to high levels of radiation Having certain genetic disorders , such as Down syndrome What are the symptoms of acute lymphocytic leukemia (ALL)? The signs and symptoms of ALL include: Weakness or feeling tired Fever or night sweats Easy bruising or bleeding Petechiae, which are tiny red dots under the skin. They are caused by bleeding. Shortness of breath Weight loss or loss of appetite Pain in the bones or stomach Pain or feeling of fullness below the ribs Swollen lymph nodes - you may notice them as painless lumps in the neck, underarm, stomach, or groin Having had many infections How is acute lymphocytic leukemia (ALL) diagnosed? Your health care provider may use many tools to diagnose ALL and figure out which subtype you have: A physical exam A medical history Blood tests, such as Complete blood count (CBC) with differential Blood chemistry tests such as a basic metabolic panel (BMP) , comprehensive metabolic panel (CMP) , kidney function tests , liver function tests , and electrolyte panel Blood smear Bone marrow tests . There are two main types - bone marrow aspiration and bone marrow biopsy. Both tests involve removing a sample of bone marrow and bone. The samples are sent to a lab for testing. Genetic tests to look for gene and chromosome changes If you are diagnosed with ALL, you may have additional tests to see whether the cancer has spread. These include imaging tests and a lumbar puncture , which is a procedure to collect and test cerebrospinal fluid (CSF). What are the treatments for acute lymphocytic leukemia (ALL)? Treatments for ALL include: Chemotherapy Radiation therapy Chemotherapy with stem cell transplant Targeted therapy, which uses drugs or other substances that attack specific cancer cells with less harm to normal cells Treatment is usually done in two phases: The goal of the first phase is to kill the leukemia cells in the blood and bone marrow. This treatment puts the leukemia into remission. Remission means that the signs and symptoms of cancer are reduced or have disappeared. The second phase is known as post-remission therapy. Its goal is to prevent a relapse (return) of the cancer. It involves killing any remaining leukemia cells that may not be active but could begin to regrow. Treatment during both phases also usually includes central nervous system (CNS) prophylaxis therapy. This therapy helps prevent the spread of leukemia cells to the brain and spinal cord. It may be high dose chemotherapy or chemotherapy injected into the spinal cord. It also sometimes includes radiation therapy. NIH: National Cancer Institute","ALL, Acute lymphoblastic leukemia","Cancers, Blood, Heart and Circulation, Immune System",National Cancer Institute
Acute Myeloid Leukemia,"What is leukemia? Leukemia is a term for cancers of the blood cells. Leukemia starts in blood-forming tissues such as the bone marrow. Your bone marrow makes the cells which will develop into white blood cells, red blood cells, and platelets. Each type of cell has a different job: White blood cells help your body fight infection Red blood cells deliver oxygen from your lungs to your tissues and organs Platelets help form clots to stop bleeding When you have leukemia, your bone marrow makes large numbers of abnormal cells. This problem most often happens with white blood cells. These abnormal cells build up in your bone marrow and blood. They crowd out the healthy blood cells and make it hard for your cells and blood to do their work. What is acute myeloid leukemia (AML)? Acute myeloid leukemia (AML) is a type of acute leukemia. ""Acute"" means that the leukemia usually gets worse quickly if it's not treated. In AML, the bone marrow makes abnormal myeloblasts (a type of white blood cell), red blood cells, or platelets. When the abnormal cells crowd out the healthy cells, it can lead to infection, anemia , and easy bleeding. The abnormal cells can also spread outside the blood to other parts of the body. There are several different subtypes of AML. The subtypes are based on how developed the cancer cells are when you get your diagnosis and how different they are from normal cells. What causes acute myeloid leukemia (AML)? AML happens when there are changes in the genetic material (DNA) in bone marrow cells. The cause of these genetic changes is unknown. However, there are certain factors that raise your risk of AML. Who is at risk for acute myeloid leukemia (AML)? The factors that raise your risk of AML include: Being male Smoking, especially after age 60 Having had chemotherapy or radiation therapy Treatment for acute lymphoblastic leukemia (ALL) as a child Exposure to the chemical benzene A history of another blood disorder such as myelodysplastic syndrome What are the symptoms of acute myeloid leukemia (AML)? The signs and symptoms of AML include: Fever Shortness of breath Easy bruising or bleeding Petechiae, which are tiny red dots under the skin. They are caused by bleeding. Weakness or feeling tired Weight loss or loss of appetite Bone or joint pain, if the abnormal cells build up near or inside the bones How is acute myeloid leukemia (AML) diagnosed? Your health care provider may use many tools to diagnose AML and figure out which subtype you have: A physical exam A medical history Blood tests, such as a complete blood count (CBC) and blood smear Bone marrow tests . There are two main types - bone marrow aspiration and bone marrow biopsy. Both tests involve removing a sample of bone marrow and bone. The samples are sent to a lab for testing. Genetic tests to look for gene and chromosome changes If you are diagnosed with AML, you may have additional tests to see whether the cancer has spread. These include imaging tests and a lumbar puncture , which is a procedure to collect and test cerebrospinal fluid (CSF). What are the treatments for acute myeloid leukemia (AML)? Treatments for AML include: Chemotherapy Radiation therapy Chemotherapy with stem cell transplant Other anticancer medicines Which treatment you get often depends on which subtype of AML you have. Treatment is usually done in two phases: The goal of the first phase is to kill the leukemia cells in the blood and bone marrow. This puts the leukemia into remission. Remission means that the signs and symptoms of cancer are reduced or have disappeared. The second phase is known as post-remission therapy. Its goal is to prevent a relapse (return) of the cancer. It involves killing any remaining leukemia cells that may not be active but could begin to regrow. NIH: National Cancer Institute","AML, ANLL, Acute myelogenous leukemia","Cancers, Blood, Heart and Circulation",National Cancer Institute
Addison Disease,"Your adrenal glands are just above your kidneys. The outside layer of these glands makes hormones that help your body respond to stress and regulate your blood pressure and water and salt balance. Addison disease happens if the adrenal glands don't make enough of these hormones. A problem with your immune system usually causes Addison disease. The immune system mistakenly attacks your own tissues, damaging your adrenal glands. Other causes include infections and cancer. Symptoms include: Weight loss Muscle weakness Fatigue that gets worse over time Low blood pressure Patchy or dark skin Lab tests can confirm that you have Addison disease. If you don't treat it, it can be fatal. You will need to take hormone pills for the rest of your life. If you have Addison disease, you should carry an emergency ID. It should say that you have the disease, list your medicines and say how much you need in an emergency. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","Adrenocortical hypofunction, Hypocortisolism, Primary adrenal insufficiency","Immune System, Endocrine System",National Institute of Diabetes and Digestive and Kidney Diseases
